areaCode,areaName,areaType,date,newAdmissions,newCasesBySpecimenDate
E92000001,England,nation,2021-09-24,557,25233
E92000001,England,nation,2021-09-23,577,27717
E92000001,England,nation,2021-09-22,572,28190
E92000001,England,nation,2021-09-21,602,29952
E92000001,England,nation,2021-09-20,606,31458
E92000001,England,nation,2021-09-19,572,24264
E92000001,England,nation,2021-09-18,560,20521
E92000001,England,nation,2021-09-17,540,21917
E92000001,England,nation,2021-09-16,672,21735
E92000001,England,nation,2021-09-15,691,21957
E92000001,England,nation,2021-09-14,701,22145
E92000001,England,nation,2021-09-13,688,24639
E92000001,England,nation,2021-09-12,658,17511
E92000001,England,nation,2021-09-11,649,16605
E92000001,England,nation,2021-09-10,680,20533
E92000001,England,nation,2021-09-09,790,23906
E92000001,England,nation,2021-09-08,900,25062
E92000001,England,nation,2021-09-07,801,27349
E92000001,England,nation,2021-09-06,831,32374
E92000001,England,nation,2021-09-05,691,22975
E92000001,England,nation,2021-09-04,752,22965
E92000001,England,nation,2021-09-03,688,28113
E92000001,England,nation,2021-09-02,788,29978
E92000001,England,nation,2021-09-01,835,30936
E92000001,England,nation,2021-08-31,798,32854
E92000001,England,nation,2021-08-30,808,24399
E92000001,England,nation,2021-08-29,701,18739
E92000001,England,nation,2021-08-28,688,19693
E92000001,England,nation,2021-08-27,749,23713
E92000001,England,nation,2021-08-26,777,25897
E92000001,England,nation,2021-08-25,843,27254
E92000001,England,nation,2021-08-24,818,27553
E92000001,England,nation,2021-08-23,831,29667
E92000001,England,nation,2021-08-22,726,21957
E92000001,England,nation,2021-08-21,757,22148
E92000001,England,nation,2021-08-20,733,25012
E92000001,England,nation,2021-08-19,824,28399
E92000001,England,nation,2021-08-18,795,30695
E92000001,England,nation,2021-08-17,832,30335
E92000001,England,nation,2021-08-16,776,30155
E92000001,England,nation,2021-08-15,719,20839
E92000001,England,nation,2021-08-14,689,20921
E92000001,England,nation,2021-08-13,694,24464
E92000001,England,nation,2021-08-12,758,27074
E92000001,England,nation,2021-08-11,747,28492
E92000001,England,nation,2021-08-10,760,26993
E92000001,England,nation,2021-08-09,665,27630
E92000001,England,nation,2021-08-08,651,19709
E92000001,England,nation,2021-08-07,630,19506
E92000001,England,nation,2021-08-06,657,24298
E92000001,England,nation,2021-08-05,693,27512
E92000001,England,nation,2021-08-04,747,28245
E92000001,England,nation,2021-08-03,680,26414
E92000001,England,nation,2021-08-02,686,25978
E92000001,England,nation,2021-08-01,645,18220
E92000001,England,nation,2021-07-31,593,18006
E92000001,England,nation,2021-07-30,650,21586
E92000001,England,nation,2021-07-29,758,24793
E92000001,England,nation,2021-07-28,728,26346
E92000001,England,nation,2021-07-27,816,25438
E92000001,England,nation,2021-07-26,830,25926
E92000001,England,nation,2021-07-25,836,19235
E92000001,England,nation,2021-07-24,734,19845
E92000001,England,nation,2021-07-23,725,24011
E92000001,England,nation,2021-07-22,827,27166
E92000001,England,nation,2021-07-21,783,31049
E92000001,England,nation,2021-07-20,805,35123
E92000001,England,nation,2021-07-19,752,42440
E92000001,England,nation,2021-07-18,698,32495
E92000001,England,nation,2021-07-17,622,34637
E92000001,England,nation,2021-07-16,593,50135
E92000001,England,nation,2021-07-15,658,56370
E92000001,England,nation,2021-07-14,636,49281
E92000001,England,nation,2021-07-13,621,42309
E92000001,England,nation,2021-07-12,610,39643
E92000001,England,nation,2021-07-11,502,26938
E92000001,England,nation,2021-07-10,442,24926
E92000001,England,nation,2021-07-09,451,28459
E92000001,England,nation,2021-07-08,488,29278
E92000001,England,nation,2021-07-07,461,33514
E92000001,England,nation,2021-07-06,458,30964
E92000001,England,nation,2021-07-05,416,29529
E92000001,England,nation,2021-07-04,390,21320
E92000001,England,nation,2021-07-03,323,20206
E92000001,England,nation,2021-07-02,307,21742
E92000001,England,nation,2021-07-01,295,23614
E92000001,England,nation,2021-06-30,331,23402
E92000001,England,nation,2021-06-29,283,22676
E92000001,England,nation,2021-06-28,244,22880
E92000001,England,nation,2021-06-27,226,15043
E92000001,England,nation,2021-06-26,223,13180
E92000001,England,nation,2021-06-25,206,14518
E92000001,England,nation,2021-06-24,194,14710
E92000001,England,nation,2021-06-23,214,14397
E92000001,England,nation,2021-06-22,182,13217
E92000001,England,nation,2021-06-21,181,12406
E92000001,England,nation,2021-06-20,171,8010
E92000001,England,nation,2021-06-19,178,6941
E92000001,England,nation,2021-06-18,185,8507
E92000001,England,nation,2021-06-17,202,9200
E92000001,England,nation,2021-06-16,177,9155
E92000001,England,nation,2021-06-15,188,8867
E92000001,England,nation,2021-06-14,185,8691
E92000001,England,nation,2021-06-13,187,5909
E92000001,England,nation,2021-06-12,137,5257
E92000001,England,nation,2021-06-11,144,6337
E92000001,England,nation,2021-06-10,162,6528
E92000001,England,nation,2021-06-09,158,6719
E92000001,England,nation,2021-06-08,147,6426
E92000001,England,nation,2021-06-07,131,6595
E92000001,England,nation,2021-06-06,121,4612
E92000001,England,nation,2021-06-05,96,3861
E92000001,England,nation,2021-06-04,96,4737
E92000001,England,nation,2021-06-03,93,4974
E92000001,England,nation,2021-06-02,101,4920
E92000001,England,nation,2021-06-01,115,4334
E92000001,England,nation,2021-05-31,98,3064
E92000001,England,nation,2021-05-30,80,2532
E92000001,England,nation,2021-05-29,69,2392
E92000001,England,nation,2021-05-28,92,2826
E92000001,England,nation,2021-05-27,83,2963
E92000001,England,nation,2021-05-26,95,3068
E92000001,England,nation,2021-05-25,88,2690
E92000001,England,nation,2021-05-24,98,2618
E92000001,England,nation,2021-05-23,77,1842
E92000001,England,nation,2021-05-22,75,1536
E92000001,England,nation,2021-05-21,85,1799
E92000001,England,nation,2021-05-20,98,1914
E92000001,England,nation,2021-05-19,93,2172
E92000001,England,nation,2021-05-18,90,2141
E92000001,England,nation,2021-05-17,74,2243
E92000001,England,nation,2021-05-16,59,1521
E92000001,England,nation,2021-05-15,70,1260
E92000001,England,nation,2021-05-14,72,1457
E92000001,England,nation,2021-05-13,74,1656
E92000001,England,nation,2021-05-12,93,1772
E92000001,England,nation,2021-05-11,79,1747
E92000001,England,nation,2021-05-10,76,2175
E92000001,England,nation,2021-05-09,76,1849
E92000001,England,nation,2021-05-08,80,1204
E92000001,England,nation,2021-05-07,77,1561
E92000001,England,nation,2021-05-06,88,1809
E92000001,England,nation,2021-05-05,96,2041
E92000001,England,nation,2021-05-04,76,2044
E92000001,England,nation,2021-05-03,98,1696
E92000001,England,nation,2021-05-02,92,1215
E92000001,England,nation,2021-05-01,68,1129
E92000001,England,nation,2021-04-30,82,1412
E92000001,England,nation,2021-04-29,80,1763
E92000001,England,nation,2021-04-28,89,2018
E92000001,England,nation,2021-04-27,128,1693
E92000001,England,nation,2021-04-26,108,2095
E92000001,England,nation,2021-04-25,107,1775
